iter	RMSE
0	59.14831284
1	56.83912371
2	54.71260866
3	52.66385335
4	50.73614764
5	48.93013821
6	47.1807034
7	45.55973888
8	43.98559273
9	42.49232804
10	41.08243902
11	39.73784966
12	38.48700181
13	37.28311368
14	36.08249877
15	34.98627974
16	33.93290586
17	32.98380057
18	32.03113204
19	31.1540384
20	30.34255591
21	29.57887413
22	28.80044708
23	28.08842709
24	27.39904955
25	26.71057531
26	26.11445645
27	25.49327171
28	24.93433148
29	24.40956898
30	23.90170086
31	23.41274379
32	22.93688737
33	22.46406797
34	22.01379251
35	21.59823981
36	21.18412164
37	20.8039672
38	20.44953496
39	20.07786457
40	19.76248522
41	19.44240176
42	19.15864479
43	18.8266552
44	18.54844395
45	18.29682442
46	18.02243384
47	17.80390876
48	17.57200163
49	17.33712699
50	17.1203689
51	16.90801028
52	16.69665816
53	16.51492845
54	16.31335548
55	16.14266307
56	15.95406359
57	15.7897359
58	15.64212354
59	15.49483672
60	15.32679941
61	15.1811885
62	15.05479057
63	14.92208239
64	14.79727353
65	14.67882902
66	14.55047913
67	14.44951507
68	14.34410764
69	14.23022463
70	14.13577304
71	14.03396037
72	13.93019889
73	13.84641672
74	13.75983656
75	13.66063108
76	13.57868042
77	13.49808895
78	13.41287841
79	13.34206458
80	13.27560284
81	13.204527
82	13.14339279
83	13.08018964
84	13.02345536
85	12.96589731
86	12.90925939
87	12.8501174
88	12.79721339
89	12.74598725
90	12.69405586
91	12.6505754
92	12.61062453
93	12.55712587
94	12.51371823
95	12.4707298
96	12.42080226
97	12.37959862
98	12.34176165
99	12.30288135
100	12.27216359
101	12.22643816
102	12.19888711
103	12.15561828
104	12.110121
105	12.07150069
106	12.03580038
107	12.00267137
108	11.97138929
109	11.93836619
110	11.90639406
111	11.86690357
112	11.83876384
113	11.80963897
114	11.78349518
115	11.75025672
116	11.72523191
117	11.70308799
118	11.67486805
119	11.65040831
120	11.61978321
121	11.60001462
122	11.5723783
123	11.55444097
124	11.53356238
125	11.5070972
126	11.48286618
127	11.46620268
128	11.45016841
129	11.43201378
130	11.41467231
131	11.38931545
132	11.37198946
133	11.35433382
134	11.33243536
135	11.31413874
136	11.29686412
137	11.27516567
138	11.25794019
139	11.2405728
140	11.22380635
141	11.20401622
142	11.19339837
143	11.17846962
144	11.16210927
145	11.13931044
146	11.12331959
147	11.10988
148	11.09456816
149	11.0804563
150	11.06641381
151	11.04629595
152	11.02641433
153	11.01090336
154	10.99890055
155	10.98418931
156	10.97171837
157	10.95450272
158	10.93831981
159	10.92617439
160	10.91261188
161	10.90035005
162	10.88653743
163	10.87663249
164	10.8700523
165	10.85377562
166	10.84212052
167	10.82660166
168	10.8145942
169	10.80688826
170	10.79830968
171	10.78509961
172	10.77628185
173	10.76547088
174	10.75738883
175	10.74726136
176	10.73887092
177	10.72906865
178	10.71770535
179	10.70807685
180	10.69865498
181	10.69072568
182	10.68094448
183	10.67210692
184	10.66190181
185	10.65393289
186	10.64213657
187	10.63294915
188	10.61985569
189	10.61102826
190	10.60305209
191	10.59593255
192	10.58707769
193	10.57900362
194	10.56813995
195	10.56081931
196	10.55375385
197	10.54256532
198	10.53715788
199	10.5265812
200	10.51677571
201	10.51063145
202	10.5034912
203	10.49727405
204	10.49020454
205	10.48278431
206	10.47428906
207	10.46710362
208	10.46129414
209	10.45203325
210	10.44515008
211	10.43770128
212	10.42936186
213	10.42371028
214	10.41893464
215	10.41101776
216	10.41063328
217	10.40324831
218	10.3963337
219	10.39111295
220	10.38459412
221	10.37648024
222	10.3708218
223	10.36499942
224	10.35685674
225	10.35110396
226	10.34599608
227	10.33980766
228	10.33584
229	10.32852247
230	10.32401079
231	10.31746233
232	10.31233683
233	10.30624761
234	10.30194936
235	10.29662643
236	10.29152559
237	10.28478775
238	10.27689938
239	10.27096862
240	10.26595333
241	10.26184289
242	10.25675625
243	10.251252
244	10.2509688
245	10.24650016
246	10.24011585
247	10.23521282
248	10.23269419
249	10.23206707
250	10.22547849
251	10.22247351
252	10.21686183
253	10.2166823
254	10.21154208
255	10.20997546
256	10.20480369
257	10.20047628
258	10.19490641
259	10.19297157
260	10.18754168
261	10.18069355
262	10.17684649
263	10.17210806
264	10.16911677
265	10.1687689
266	10.16484455
267	10.16019511
268	10.15982247
269	10.1546961
270	10.15430362
271	10.15032235
272	10.14697616
273	10.14017365
274	10.13963967
275	10.13347133
276	10.13311965
277	10.12946913
278	10.12433422
279	10.12241888
280	10.11761263
281	10.11375794
282	10.11032597
283	10.10985875
284	10.10557497
285	10.10514236
286	10.10065468
287	10.09803109
288	10.09331659
289	10.08978854
290	10.08514849
291	10.0817164
292	10.07966802
293	10.07640837
294	10.0730202
295	10.06848935
296	10.06525614
297	10.06087747
298	10.05683153
299	10.05412845
