iter	Passed	Remaining
0	99	29736
1	212	31671
2	318	31530
3	486	36008
4	630	37197
5	807	39563
6	909	38063
7	1014	37027
8	1102	35645
9	1228	35617
10	1329	34922
11	1454	34903
12	1554	34314
13	1679	34304
14	1785	33928
15	1946	34555
16	2057	34255
17	2171	34017
18	2285	33796
19	2374	33243
20	2478	32934
21	2571	32488
22	2683	32312
23	2786	32043
24	2917	32091
25	3030	31933
26	3134	31692
27	3246	31535
28	3346	31275
29	3456	31111
30	3554	30844
31	3675	30781
32	3843	31096
33	3966	31033
34	4162	31515
35	4315	31648
36	4478	31833
37	4650	32065
38	4763	31877
39	4860	31593
40	4967	31383
41	5069	31140
42	5178	30953
43	5279	30717
44	5388	30536
45	5509	30423
46	5622	30266
47	5724	30055
48	5840	29918
49	5967	29836
50	6090	29737
51	6191	29529
52	6308	29399
53	6414	29221
54	6548	29168
55	6659	29015
56	6760	28821
57	6877	28693
58	6978	28504
59	7066	28265
60	7196	28195
61	7308	28053
62	7404	27856
63	7513	27704
64	7639	27621
65	7739	27438
66	7859	27332
67	7977	27216
68	8111	27155
69	8242	27083
70	8367	26988
71	8491	26891
72	8601	26748
73	8725	26649
74	8821	26465
75	8914	26273
76	9011	26099
77	9109	25925
78	9223	25803
79	9333	25668
80	9433	25505
81	9551	25392
82	9670	25282
83	9779	25146
84	9882	24996
85	10001	24886
86	10108	24747
87	10232	24651
88	10343	24522
89	10458	24403
90	10560	24254
91	10653	24086
92	10783	24001
93	10907	23902
94	11030	23801
95	11147	23688
96	11262	23570
97	11381	23459
98	11503	23356
99	11615	23230
100	11723	23099
101	11835	22974
102	11943	22844
103	12053	22715
104	12157	22577
105	12258	22434
106	12389	22346
107	12496	22215
108	12607	22091
109	12714	21961
110	12826	21839
111	12945	21730
112	13056	21607
113	13160	21472
114	13281	21365
115	13388	21236
116	13502	21119
117	13618	21005
118	13734	20890
119	13853	20780
120	13973	20670
121	14079	20542
122	14189	20419
123	14292	20286
124	14403	20164
125	14500	20024
126	14608	19899
127	14723	19784
128	14881	19726
129	14997	19612
130	15110	19493
131	15216	19366
132	15320	19236
133	15431	19116
134	15558	19015
135	15668	18894
136	15814	18815
137	15916	18684
138	16031	18569
139	16157	18465
140	16272	18349
141	16372	18217
142	16465	18076
143	16573	17954
144	16700	17851
145	16806	17727
146	16908	17599
147	17020	17480
148	17133	17362
149	17237	17237
150	17346	17116
151	17466	17006
152	17587	16897
153	17700	16780
154	17816	16666
155	17929	16550
156	18036	16428
157	18145	16307
158	18258	16191
159	18395	16095
160	18499	15971
161	18606	15850
162	18704	15721
163	18804	15594
164	18917	15478
165	19043	15372
166	19146	15248
167	19236	15114
168	19343	14994
169	19456	14878
170	19573	14765
171	19671	14639
172	19791	14529
173	19895	14407
174	20038	14313
175	20149	14195
176	20261	14080
177	20362	13955
178	20481	13845
179	20586	13724
180	20708	13615
181	20822	13500
182	20931	13382
183	21061	13278
184	21187	13170
185	21313	13063
186	21442	12957
187	21557	12843
188	21690	12738
189	21793	12617
190	21892	12493
191	21998	12374
192	22096	12250
193	22199	12129
194	22300	12008
195	22412	11892
196	22530	11779
197	22641	11663
198	22759	11551
199	22895	11447
200	22999	11328
201	23118	11215
202	23243	11106
203	23360	10993
204	23480	10881
205	23592	10765
206	23698	10647
207	23810	10531
208	23931	10419
209	24047	10306
210	24148	10185
211	24254	10068
212	24360	9950
213	24466	9832
214	24563	9711
215	24680	9597
216	24749	9466
217	24841	9343
218	24927	9219
219	25027	9101
220	25137	8985
221	25242	8869
222	25334	8747
223	25434	8629
224	25546	8515
225	25685	8410
226	25840	8309
227	26000	8210
228	26132	8102
229	26259	7991
230	26426	7893
231	26572	7788
232	26678	7671
233	26781	7553
234	26892	7438
235	26985	7318
236	27104	7204
237	27214	7089
238	27323	6973
239	27433	6858
240	27554	6745
241	27665	6630
242	27767	6513
243	27882	6399
244	27979	6281
245	28088	6165
246	28178	6046
247	28278	5929
248	28399	5816
249	28489	5697
250	28604	5584
251	28713	5469
252	28832	5356
253	28920	5237
254	29053	5127
255	29169	5013
256	29266	4896
257	29376	4782
258	29492	4668
259	29589	4552
260	29701	4438
261	29817	4324
262	29912	4208
263	30021	4093
264	30120	3978
265	30221	3862
266	30308	3746
267	30407	3630
268	30511	3516
269	30613	3401
270	30724	3287
271	30853	3176
272	30994	3065
273	31137	2954
274	31276	2843
275	31435	2733
276	31610	2624
277	31751	2512
278	31901	2401
279	32050	2289
280	32204	2177
281	32364	2065
282	32538	1954
283	32661	1840
284	32771	1724
285	32885	1609
286	32987	1494
287	33095	1378
288	33198	1263
289	33307	1148
290	33414	1033
291	33517	918
292	33606	802
293	33700	687
294	33800	572
295	33907	458
296	34007	343
297	34131	229
298	34256	114
299	34379	0
