Date,Year,Month,Season,Origin,Destination,Flight_Type,Flight_ID,Aircraft_Type,Shipment_Count,Cargo_Weight_KG,Cargo_Volume_CBM,ULD_Count,ULD_Type,Pallet_Count,Nature_of_Goods,Cargo_Mix_Complexity,Manpower_Assigned,Forklift_Count,Equipment_Availability,Shift,Weather_Condition,Build_Up_Time_Minutes
2024-06-01,2024,6,Hajj,JED,AMS,International,SV2587,B787-9,301,31430.9,55.28,8,PMC,3,Automotive Parts,Low,12,3,Medium,Afternoon,Clear,260.4
2024-06-01,2024,6,Hajj,JED,CAN,International,TK5150,B737-800,239,1570.2,5.0,2,PAG,0,Mail,Low,8,1,Medium,Afternoon,Storm,152.2
2024-06-01,2024,6,Hajj,JED,CAI,International,EK7092,A321,154,5467.9,20.8,3,PMC,1,General Cargo,Low,9,2,Medium,Morning,Clear,124.2
2024-06-01,2024,6,Hajj,JED,DMM,Domestic,QR3059,A320,230,4504.9,16.53,6,PMC,2,General Cargo,Low,8,2,Low,Morning,Clear,179.9
2024-06-01,2024,6,Hajj,JED,CDG,International,GF1237,B777F,354,15564.9,70.05,9,PMC,4,Seafood,High,11,3,Medium,Afternoon,Clear,283.1
2024-06-01,2024,6,Hajj,JED,BOM,International,EY8754,A330-300,243,8283.4,24.69,5,PLA,4,Fresh Produce,Medium,7,3,High,Morning,Clear,198.8
2024-06-01,2024,6,Hajj,JED,DMM,Domestic,TK3634,A321,147,4999.8,22.19,2,AKE,0,Fresh Produce,Low,7,2,Low,Morning,Clear,135.3
2024-06-01,2024,6,Hajj,JED,KWI,International,EK8745,A330-300,197,3557.8,11.61,4,AKE,1,Live Animals,Medium,6,2,Medium,Morning,Fog,208.0
2024-06-01,2024,6,Hajj,JED,CAN,International,EK370,B777F,414,3984.9,37.45,7,PMC,1,E-commerce,Medium,14,2,Low,Afternoon,Clear,271.3
2024-06-01,2024,6,Hajj,JED,KWI,International,SV6353,B737-800,272,1079.6,15.29,3,AKE,1,E-commerce,Medium,9,2,Medium,Afternoon,Clear,155.8
2024-06-01,2024,6,Hajj,JED,BOM,International,EY1231,B737-800,136,2294.7,13.03,3,PAG,1,General Cargo,Low,8,3,Low,Night,Storm,131.8
2024-06-01,2024,6,Hajj,JED,DOH,International,GF6920,A330-300,303,5366.0,21.8,4,AKE,0,Fresh Produce,Medium,13,3,Low,Morning,Clear,187.5
2024-06-01,2024,6,Hajj,JED,BOM,International,TK7434,B777F,294,14458.9,86.96,10,PLA,2,Live Animals,High,10,5,High,Morning,Clear,268.4
2024-06-01,2024,6,Hajj,JED,BAH,International,EK9055,B777F,358,3210.9,27.86,5,AKE,4,E-commerce,Medium,12,2,Medium,Afternoon,Fog,237.3
2024-06-01,2024,6,Hajj,JED,DOH,International,SV602,A330-300,325,7227.8,25.8,4,PAG,2,Fresh Produce,Medium,10,3,Medium,Night,Clear,211.9
2024-06-01,2024,6,Hajj,JED,DMM,Domestic,QR5108,A321,321,972.1,6.02,5,AKE,2,Mail,Low,10,1,Medium,Morning,Storm,207.9
2024-06-01,2024,6,Hajj,JED,CAN,International,SV4636,B777F,352,20658.0,102.71,16,PMC,10,Live Animals,High,17,5,High,Afternoon,Clear,347.9
2024-06-01,2024,6,Hajj,JED,RUH,Domestic,TK4514,B737-800,200,7032.4,79.06,8,PAG,3,Textiles,Low,9,3,Low,Morning,Clear,204.3
2024-06-01,2024,6,Hajj,JED,IST,International,SV6309,A321,153,2028.9,9.53,3,AKE,0,Dangerous Goods,High,5,1,Low,Afternoon,Rain,184.3
2024-06-01,2024,6,Hajj,JED,AUH,International,EK4010,A330-300,373,2914.6,22.89,3,AKE,0,E-commerce,Medium,9,1,Medium,Morning,Clear,190.6
2024-06-01,2024,6,Hajj,JED,BAH,International,EK7543,B787-9,297,6763.8,33.47,3,AKE,1,Pharmaceuticals,Medium,9,2,Low,Morning,Clear,221.6
2024-06-01,2024,6,Hajj,JED,DMM,Domestic,SV3129,A321,170,6343.5,23.58,6,PMC,2,Live Animals,High,9,2,Medium,Night,Clear,199.8
2024-06-01,2024,6,Hajj,JED,KWI,International,GF9811,A321,131,500.0,5.0,2,PMC,2,Mail,Low,6,2,Low,Morning,Clear,119.3
2024-06-01,2024,6,Hajj,JED,RUH,Domestic,SV6401,B737-800,101,2628.4,18.91,5,AKE,1,Textiles,Low,6,3,Medium,Morning,Clear,100.3
2024-06-01,2024,6,Hajj,JED,LHR,International,TK1652,A330-300,299,17762.3,27.4,6,PMC,2,Industrial Equipment,High,11,1,High,Afternoon,Clear,218.5
2024-06-01,2024,6,Hajj,JED,DOH,International,EY8720,A330-300,151,2822.5,7.25,4,AKE,2,General Cargo,Low,7,2,Low,Morning,Storm,175.0
2024-06-01,2024,6,Hajj,JED,DMM,Domestic,TK3724,A321,163,3799.9,20.33,2,AKE,0,General Cargo,Low,4,1,High,Night,Clear,111.7
2024-06-01,2024,6,Hajj,JED,DAC,International,SV9731,B787-9,282,10173.4,27.38,1,PAG,0,General Cargo,Low,11,3,Medium,Morning,Clear,158.4
2024-06-02,2024,6,Hajj,JED,FRA,International,TK6453,B737-800,184,4544.3,39.27,6,PMC,1,Textiles,Low,11,2,High,Morning,Clear,118.6
2024-06-02,2024,6,Hajj,JED,DXB,International,EK4674,A330-300,323,11242.9,116.21,14,AKE,6,Textiles,Medium,15,2,Low,Morning,Rain,319.1
2024-06-02,2024,6,Hajj,JED,DXB,International,GF5443,A330-300,227,16443.8,26.6,4,AKE,1,Automotive Parts,Low,11,2,Medium,Afternoon,Rain,178.6
2024-06-02,2024,6,Hajj,JED,CDG,International,EY4060,B787-9,426,1788.6,13.23,4,PMC,0,E-commerce,Medium,12,3,Medium,Afternoon,Clear,220.4
2024-06-02,2024,6,Hajj,JED,AMS,International,QR8503,B787-9,329,15720.2,137.23,16,PMC,9,Textiles,Medium,12,3,Low,Morning,Clear,348.4
2024-06-02,2024,6,Hajj,JED,KUL,International,EK6998,A330-300,284,16313.5,73.88,9,AKE,4,General Cargo,Low,10,4,Medium,Morning,Clear,218.0
2024-06-02,2024,6,Hajj,JED,DMM,Domestic,GF2297,A320,52,549.7,5.0,1,AKE,1,General Cargo,Low,4,2,High,Morning,Clear,61.3
2024-06-02,2024,6,Hajj,JED,CDG,International,QR5887,B777F,376,21524.3,113.54,11,PAG,3,Fresh Produce,High,14,4,Medium,Morning,Fog,349.6
2024-06-02,2024,6,Hajj,JED,DMM,Domestic,QR8588,B737-800,190,2295.9,7.8,3,PLA,0,Dangerous Goods,High,6,3,Medium,Afternoon,Clear,187.1
2024-06-02,2024,6,Hajj,JED,IST,International,EY231,A330-300,240,14158.5,37.39,4,AKE,0,Pharmaceuticals,Medium,10,2,Medium,Afternoon,Rain,216.6
2024-06-02,2024,6,Hajj,JED,AUH,International,EK4067,B777F,378,20076.2,71.12,9,PLA,4,General Cargo,Low,13,3,High,Morning,Clear,272.4
2024-06-02,2024,6,Hajj,JED,AMS,International,TK1931,A321,160,11391.8,19.87,1,AKE,2,Industrial Equipment,Medium,4,1,Medium,Afternoon,Clear,145.9
2024-06-02,2024,6,Hajj,JED,DOH,International,EY2064,A330-300,221,4113.5,33.05,7,PLA,2,Textiles,Low,9,3,Low,Morning,Clear,170.7
2024-06-02,2024,6,Hajj,JED,SIN,International,QR3961,B777F,265,30367.7,56.77,8,PAG,2,Automotive Parts,Medium,9,3,Low,Afternoon,Clear,298.2
2024-06-02,2024,6,Hajj,JED,IST,International,EK7419,B777F,351,27538.8,62.28,7,PMC,3,Industrial Equipment,High,10,5,Medium,Night,Rain,303.8
2024-06-02,2024,6,Hajj,JED,DXB,International,EY479,B777F,355,5470.9,39.11,8,PAG,4,Electronics,High,13,2,Medium,Night,Clear,268.1
2024-06-02,2024,6,Hajj,JED,AMS,International,QR8652,B787-9,321,6831.0,19.46,6,PMC,4,Dangerous Goods,High,9,1,Medium,Morning,Clear,262.0
2024-06-02,2024,6,Hajj,JED,KUL,International,TK8627,B737-800,197,5588.9,21.92,2,AKE,0,General Cargo,Low,8,1,High,Night,Storm,146.3
2024-06-02,2024,6,Hajj,JED,DMM,Domestic,QR5538,A320,100,7990.3,13.2,1,AKE,0,Industrial Equipment,Medium,4,1,Low,Afternoon,Clear,157.3
2024-06-02,2024,6,Hajj,JED,DMM,Domestic,SV7482,A320,133,2919.5,14.41,3,AKE,1,Fresh Produce,Medium,5,2,Low,Morning,Clear,147.0
2024-06-02,2024,6,Hajj,JED,KUL,International,GF9360,B787-9,306,16379.8,42.91,8,PMC,3,Pharmaceuticals,High,15,2,Low,Afternoon,Storm,294.6
2024-06-02,2024,6,Hajj,JED,KWI,International,GF1280,B777F,432,2842.2,24.01,5,PAG,1,E-commerce,Medium,12,3,High,Morning,Fog,244.7
2024-06-02,2024,6,Hajj,JED,RUH,Domestic,TK5545,B737-800,235,5905.0,28.69,4,AKE,2,General Cargo,Low,8,1,Medium,Morning,Rain,166.5
2024-06-02,2024,6,Hajj,JED,DOH,International,TK7930,B777F,349,21542.2,147.57,17,PAG,8,Fresh Produce,High,14,3,Medium,Morning,Clear,362.6
2024-06-02,2024,6,Hajj,JED,FRA,International,EY8363,A330-300,293,13524.6,46.47,4,PLA,2,General Cargo,Low,12,1,Medium,Night,Clear,199.6
2024-06-02,2024,6,Hajj,JED,CDG,International,TK9387,B777F,285,6705.0,19.35,3,PAG,1,Electronics,Medium,11,2,Medium,Morning,Clear,203.8
2024-06-02,2024,6,Hajj,JED,FRA,International,QR8694,B777F,334,8333.0,79.23,14,PLA,3,Textiles,Medium,14,3,Low,Afternoon,Clear,299.9
2024-06-02,2024,6,Hajj,JED,DEL,International,EK889,B787-9,242,5543.2,17.71,2,AKE,1,Seafood,Medium,8,3,Low,Night,Clear,165.7
2024-06-02,2024,6,Hajj,JED,AUH,International,SV393,A321,139,8278.6,10.27,3,PMC,1,Industrial Equipment,Medium,7,1,Low,Morning,Clear,189.3
2024-06-03,2024,6,Hajj,JED,HKG,International,SV4319,A321,181,13655.0,28.7,4,AKE,2,Automotive Parts,Low,12,1,Medium,Morning,Clear,165.2
2024-06-03,2024,6,Hajj,JED,BOM,International,TK6691,A330-300,307,2167.0,7.2,3,AKE,1,Mail,Low,11,2,Medium,Morning,Rain,155.5
2024-06-03,2024,6,Hajj,JED,BAH,International,SV6752,B787-9,288,11617.9,33.62,6,AKE,3,Electronics,Medium,11,3,High,Afternoon,Clear,180.7
2024-06-03,2024,6,Hajj,JED,IST,International,EY6745,A330-300,243,7261.2,79.91,9,PMC,4,Textiles,Low,11,3,High,Night,Clear,193.9
2024-06-03,2024,6,Hajj,JED,IST,International,QR9276,B777F,392,25812.8,102.12,13,AKE,5,Electronics,High,15,4,Medium,Afternoon,Clear,330.1
2024-06-03,2024,6,Hajj,JED,SIN,International,TK3117,A330-300,378,1211.4,9.19,2,AKE,1,E-commerce,Medium,10,3,High,Afternoon,Clear,179.9
2024-06-03,2024,6,Hajj,JED,DMM,Domestic,EY2035,B737-800,267,12740.0,83.15,10,AKE,2,General Cargo,Low,14,4,High,Night,Clear,184.7
2024-06-03,2024,6,Hajj,JED,DMM,Domestic,QR6566,A320,136,1923.1,12.4,3,AKE,1,Pharmaceuticals,Low,7,1,Low,Morning,Clear,134.3
2024-06-03,2024,6,Hajj,JED,RUH,Domestic,GF6111,A320,60,2376.5,15.58,1,AKE,2,General Cargo,Low,9,1,Medium,Night,Clear,81.8
